"ID","rodada","data","hora","mandante","visitante","formacao_mandante","formacao_visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_Placar","visitante_Placar","mandante_Estado","visitante_Estado"
"8026","1","15/04/2023","16:01","Palmeiras","Cuiaba","4-2-3-1","4-2-3-1","A. Moreira Ferreira","I. Abreu Vieira","Palmeiras","Allianz Parque","2","1","SP","MT"
"8027","1","15/04/2023","16:02","America-MG","Fluminense","4-2-3-1","4-2-2-2","V. Carmo Mancini","F. Diniz Silva","Fluminense","Estádio Raimundo Sampaio","0","3","MG","RJ"
"8029","1","15/04/2023","18:31","Bragantino","Bahia","4-2-3-1","3-4-3","P. Faria Caixinha","R. Alves Paiva","Bragantino","Nabizão","2","1","SP","BA"
"8030","1","15/04/2023","18:31","Athletico-PR","Goias","4-2-3-1","4-2-3-1","P. Turra","E. Rodrigues de Ávila","Athletico-PR","Ligga Arena","2","0","PR","GO"
"8031","1","15/04/2023","18:32","Fortaleza","Internacional","4-2-2-2","4-2-3-1","J. Vojvoda","L. Venker de Menezes","-","Arena Castelão","1","1","CE","RS"
"8028","1","15/04/2023","18:33","Botafogo-RJ","Sao Paulo","4-2-3-1","4-1-4-1","L. Ribeiro de Castro","R. Ceni","Botafogo-RJ","Estádio Nilton Santos","2","1","RJ","SP"
"8032","1","15/04/2023","21:00","Atletico-MG","Vasco","4-3-3","4-3-3","E. Coudet","M. Nogueira Barbieri","Vasco"," Mineirão","1","2","MG","RJ"
"8034","1","16/04/2023","16:00","Flamengo","Coritiba","4-2-3-1","4-3-3","J. Sampaoli Moya","A. Cardoso de Oliveira","Flamengo"," Maracanã","3","0","RJ","PR"
"8033","1","16/04/2023","16:03","Corinthians","Cruzeiro","4-2-3-1","4-2-3-1","F. Lázaro Rodrigues Alves","P. Marques da Costa Filipe","Corinthians","Neo Química Arena","2","1","SP","MG"
"8035","1","16/04/2023","18:30","Gremio","Santos","4-2-3-1","4-3-3","Renato Gaúcho","O. Hellmann","Gremio"," Alfredo Jaconi","1","0","RS","SP"
"8036","2","22/04/2023","16:00","Fluminense","Athletico-PR","4-2-3-1","4-2-3-1","F. Diniz Silva","P. Turra","Fluminense"," Maracanã","2","0","RJ","PR"
"8038","2","22/04/2023","18:30","Cuiaba","Bragantino","4-2-3-1","4-3-3","I. Abreu Vieira","P. Faria Caixinha","-","Arena Pantanal","1","1","MT","SP"
"8037","2","22/04/2023","18:31","Sao Paulo","America-MG","4-1-3-2","4-2-3-1","D. Silvestre Júnior","V. Carmo Mancini","Sao Paulo"," Morumbi","3","0","SP","MG"
"8039","2","22/04/2023","20:59","Cruzeiro","Gremio","4-2-3-1","4-2-3-1","P. Marques da Costa Filipe","Renato Gaúcho","Cruzeiro","Estádio Raimundo Sampaio","1","0","MG","RS"
"8040","2","23/04/2023","11:01","Internacional","Flamengo","4-2-3-1","4-1-2-1-2","L. Venker de Menezes","J. Sampaoli Moya","Internacional","Estádio Beira-Rio","2","1","RS","RJ"
"8041","2","23/04/2023","16:00","Santos","Atletico-MG","4-4-2","4-4-2","O. Hellmann","E. Coudet","-","Estádio Urbano Caldeira","0","0","SP","MG"
"8042","2","23/04/2023","16:00","Vasco","Palmeiras","4-3-3","4-2-3-1","C. Maldonado","V. Castanheira Penas","-"," Maracanã","2","2","RJ","SP"
"8043","2","23/04/2023","18:31","Coritiba","Fortaleza","3-1-4-2","4-4-2","L. De Souza","J. Vojvoda","Fortaleza"," Couto Pereira","0","3","PR","CE"
"8044","2","23/04/2023","19:00","Goias","Corinthians","4-2-3-1","4-2-3-1","E. Rodrigues de Ávila","A. Stival","Goias","Estádio Hailé Pinheiro - Serrinha","3","1","GO","SP"
"8045","2","24/04/2023","20:00","Bahia","Botafogo-RJ","5-4-1","4-2-3-1","R. Alves Paiva","L. Ribeiro de Castro","Botafogo-RJ","Itaipava Arena Fonte Nova","1","2","BA","RJ"
"8047","3","29/04/2023","16:30","Coritiba","Sao Paulo","3-4-3","4-2-3-1","A. Zago","D. Silvestre Júnior","-"," Couto Pereira","1","1","PR","SP"
"8046","3","29/04/2023","16:31","Fortaleza","Fluminense","4-4-2","4-2-3-1","J. Vojvoda","F. Diniz Silva","Fortaleza","Arena Castelão","4","2","CE","RJ"
"8048","3","29/04/2023","18:30","Palmeiras","Corinthians","4-2-3-1","4-2-3-1","A. Moreira Ferreira","Danilo","Palmeiras","Allianz Parque","2","1","SP","SP"
"8049","3","29/04/2023","18:30","Santos","America-MG","4-3-3","4-1-4-1","O. Hellmann","V. Carmo Mancini","Santos","Estádio Urbano Caldeira","3","2","SP","MG"
